position;post_id;post_by;post_text;post_published;comment_id;comment_by;is_reply;comment_message;comment_published;comment_like_count
1_2;171645503710_10154224061308711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;Buon #compleanno al Teatro La Fenice che venne inaugurato il 16 maggio 1792 #Venezia;2016-05-16T09:26:22+0000;10154224061308711_10154228851848711;1d420cdf953d8a4f012e8b43a65a18d257c1cd79;0;Che Splendore;2016-05-18T14:30:01+0000;0
1_3;171645503710_10154224061308711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;Buon #compleanno al Teatro La Fenice che venne inaugurato il 16 maggio 1792 #Venezia;2016-05-16T09:26:22+0000;10154224061308711_10154224142483711;2c744d934f1237d083ca061dba9e1f8547321018;0;Spettacolare;2016-05-16T10:27:03+0000;2
1_4;171645503710_10154224061308711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;Buon #compleanno al Teatro La Fenice che venne inaugurato il 16 maggio 1792 #Venezia;2016-05-16T09:26:22+0000;10154224061308711_10154226275328711;bc3b235f13528756dccf3ec84af5fcd553796fb2;0;Visitato.... Da mozzare il fiato ??;2016-05-17T09:46:14+0000;1
1_5;171645503710_10154224061308711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;Buon #compleanno al Teatro La Fenice che venne inaugurato il 16 maggio 1792 #Venezia;2016-05-16T09:26:22+0000;10154224061308711_10154225596243711;26f6e4640e18e5ce63f0eb0c982c2867c190a728;0;Altaira Teatro;2016-05-17T01:20:32+0000;1
1_6;171645503710_10154224061308711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;Buon #compleanno al Teatro La Fenice che venne inaugurato il 16 maggio 1792 #Venezia;2016-05-16T09:26:22+0000;10154224061308711_10154224164743711;e05066ef5b4747b8bf511763ed930aa1bb0eb0f2;0;??????;2016-05-16T10:48:46+0000;1
1_7;171645503710_10154224061308711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;Buon #compleanno al Teatro La Fenice che venne inaugurato il 16 maggio 1792 #Venezia;2016-05-16T09:26:22+0000;10154224061308711_10154224663948711;55b6f2ee565cc3554da6329dda3ad00534581b10;1;????;2016-05-16T15:45:32+0000;1
1_8;171645503710_10154224061308711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;Buon #compleanno al Teatro La Fenice che venne inaugurato il 16 maggio 1792 #Venezia;2016-05-16T09:26:22+0000;10154224061308711_10154224662283711;729eb0bd34c302bb4c414eed0f1491c8457e6e27;0;Rossella d'Elia;2016-05-16T15:44:22+0000;1
1_9;171645503710_10154224061308711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;Buon #compleanno al Teatro La Fenice che venne inaugurato il 16 maggio 1792 #Venezia;2016-05-16T09:26:22+0000;10154224061308711_10154225157803711;b9f0af8d22f1163c35a8411c2faef99835c2f14a;0;https://www.facebook.com/LuoghiDiCelluloide/posts/1273743885986954?notif_t=like&notif_id=1463396015555892;2016-05-16T20:15:38+0000;0
1_10;171645503710_10154224061308711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;Buon #compleanno al Teatro La Fenice che venne inaugurato il 16 maggio 1792 #Venezia;2016-05-16T09:26:22+0000;10154224061308711_10154224971543711;58a4423ef24e4db9f1006df14531fb1021b432b9;0;Non solo la Fenice! https://www.facebook.com/teatroregioparma/photos/a.513957675315865.122868.512811405430492/1191027487608877/?type=3&theater;2016-05-16T18:43:03+0000;0
2_1;171645503710_10154223947508711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno dall_antica città di Elea-Velia #Salerno L’antica città di Elea_ che deriva il suo nome dalla sorgente locale Hyele_ fu fondata intorno al 540 a.C. da un gruppo di esuli provenienti dalla città greca di Focea_ nell’attuale Turchia_ occupata dai Persiani. La città_ nota nel V sec. soprattutto per le figure di Parmenide e Zenone_ fondatori della scuola filosofica eleatica_ raggiunge un periodo di grande sviluppo in età ellenistica e in gran parte dell’età romana (fine IV a.C. – V sec. d.C.)_ quando il suo nome viene modificato in Velia. Con il Medioevo l’abitato si ritira sull’Acropoli_ dove viene costruito un castello. Le strutture architettoniche della città antica sono immerse in una vasta area di macchia mediterranea e di rigogliosi uliveti costituendo uno splendido connubio tra archeologia e natura. Scopriamo di più su http://www.beniculturali.it/mibac/opencms/MiBAC/sito-MiBAC/Luogo/MibacUnif/Luoghi-della-Cultura/visualizza_asset.html?id=150685&pagename=157031 #Italiaviaggianellabellezza #MiBACTsocial;2016-05-16T07:54:03+0000;10154223947508711_10154224171588711;470d7b5eaa71caf92d16351dc3a93bfccec2498d;1;"Ciao Ilaria, non credo si debbano dimenticare le altre mete ma integrarle, io vivo ad Ercolano ma credo che tutta la Campania abbia un patrimonio incredibile da conoscere e da valorizzare, soprattutto quello fatto dei piccoli borghi e dei siti definiti impropriamente ""minori"". Il nostro futuro è nell'integrazione e nell'aumento delle mete meno conosciute all'interno dei circuiti turistici, su questo bisogna ancora lavorare molto!";2016-05-16T10:56:35+0000;1
2_2;171645503710_10154223947508711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno dall_antica città di Elea-Velia #Salerno L’antica città di Elea_ che deriva il suo nome dalla sorgente locale Hyele_ fu fondata intorno al 540 a.C. da un gruppo di esuli provenienti dalla città greca di Focea_ nell’attuale Turchia_ occupata dai Persiani. La città_ nota nel V sec. soprattutto per le figure di Parmenide e Zenone_ fondatori della scuola filosofica eleatica_ raggiunge un periodo di grande sviluppo in età ellenistica e in gran parte dell’età romana (fine IV a.C. – V sec. d.C.)_ quando il suo nome viene modificato in Velia. Con il Medioevo l’abitato si ritira sull’Acropoli_ dove viene costruito un castello. Le strutture architettoniche della città antica sono immerse in una vasta area di macchia mediterranea e di rigogliosi uliveti costituendo uno splendido connubio tra archeologia e natura. Scopriamo di più su http://www.beniculturali.it/mibac/opencms/MiBAC/sito-MiBAC/Luogo/MibacUnif/Luoghi-della-Cultura/visualizza_asset.html?id=150685&pagename=157031 #Italiaviaggianellabellezza #MiBACTsocial;2016-05-16T07:54:03+0000;10154223947508711_10154224212218711;a0e7fb8d23513467e05d7f87a0baf22b995e760b;1;"Assolutamente Luca Coppola però sai da laureata nel campo e con una visione interna della cosa ti dico che le cose vanno molto male a partire dai vertici (la tanto agognata valorizzazione non c'è ) ... t dico vedi un po' come funziona la campania arte card.... era/é una cavolata proprio perché tutto ruota a sul e nel napoletano.. e da salernitana la cosa é deprimente...da lì il mio consiglio a chi é appassionato a svincolarsi dalle solite mete..anche perché di ""minore"" ed é giusto che l'hai messo tra virgolette , non c'è nulla si parla solo di epoche diverse..vorrei vederle lavorare le soprintendenze.... e nn dico altro";2016-05-16T11:21:07+0000;2
2_3;171645503710_10154223947508711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno dall_antica città di Elea-Velia #Salerno L’antica città di Elea_ che deriva il suo nome dalla sorgente locale Hyele_ fu fondata intorno al 540 a.C. da un gruppo di esuli provenienti dalla città greca di Focea_ nell’attuale Turchia_ occupata dai Persiani. La città_ nota nel V sec. soprattutto per le figure di Parmenide e Zenone_ fondatori della scuola filosofica eleatica_ raggiunge un periodo di grande sviluppo in età ellenistica e in gran parte dell’età romana (fine IV a.C. – V sec. d.C.)_ quando il suo nome viene modificato in Velia. Con il Medioevo l’abitato si ritira sull’Acropoli_ dove viene costruito un castello. Le strutture architettoniche della città antica sono immerse in una vasta area di macchia mediterranea e di rigogliosi uliveti costituendo uno splendido connubio tra archeologia e natura. Scopriamo di più su http://www.beniculturali.it/mibac/opencms/MiBAC/sito-MiBAC/Luogo/MibacUnif/Luoghi-della-Cultura/visualizza_asset.html?id=150685&pagename=157031 #Italiaviaggianellabellezza #MiBACTsocial;2016-05-16T07:54:03+0000;10154223947508711_10154225516453711;02b827f2bf708228a1fbd0ff4a4d02baf756b897;1;Cara dott. D'auria sono felice che finalmente un giovane del Cilento abbia intrapreso la carriera d'archeologia questo e già un passò importante se le fara piacere si può creare un tavolo di studio per affrontare proprio il problema del lassativismo metropolitano nei nostri territori, il vero dilemma era che di era costretti sempre a trovare qualche competente sempre Da fuori quindi senza un reale interesse per il territorio. Per questo vale il detto aiutati che dio ti aiuta,;2016-05-17T00:25:50+0000;1
2_4;171645503710_10154223947508711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno dall_antica città di Elea-Velia #Salerno L’antica città di Elea_ che deriva il suo nome dalla sorgente locale Hyele_ fu fondata intorno al 540 a.C. da un gruppo di esuli provenienti dalla città greca di Focea_ nell’attuale Turchia_ occupata dai Persiani. La città_ nota nel V sec. soprattutto per le figure di Parmenide e Zenone_ fondatori della scuola filosofica eleatica_ raggiunge un periodo di grande sviluppo in età ellenistica e in gran parte dell’età romana (fine IV a.C. – V sec. d.C.)_ quando il suo nome viene modificato in Velia. Con il Medioevo l’abitato si ritira sull’Acropoli_ dove viene costruito un castello. Le strutture architettoniche della città antica sono immerse in una vasta area di macchia mediterranea e di rigogliosi uliveti costituendo uno splendido connubio tra archeologia e natura. Scopriamo di più su http://www.beniculturali.it/mibac/opencms/MiBAC/sito-MiBAC/Luogo/MibacUnif/Luoghi-della-Cultura/visualizza_asset.html?id=150685&pagename=157031 #Italiaviaggianellabellezza #MiBACTsocial;2016-05-16T07:54:03+0000;10154223947508711_10154225937568711;eabcf365e3d06429ec139738905af756eac84ce6;1;"Se per arrivarci le strade sono poche e difficili, e quando si interrompono vengono chiuse ""provvisoriamente"" per decenni ( vedi il caso della superstrada per Agropoli) come non darti ragione?";2016-05-17T06:08:10+0000;1
2_5;171645503710_10154223947508711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno dall_antica città di Elea-Velia #Salerno L’antica città di Elea_ che deriva il suo nome dalla sorgente locale Hyele_ fu fondata intorno al 540 a.C. da un gruppo di esuli provenienti dalla città greca di Focea_ nell’attuale Turchia_ occupata dai Persiani. La città_ nota nel V sec. soprattutto per le figure di Parmenide e Zenone_ fondatori della scuola filosofica eleatica_ raggiunge un periodo di grande sviluppo in età ellenistica e in gran parte dell’età romana (fine IV a.C. – V sec. d.C.)_ quando il suo nome viene modificato in Velia. Con il Medioevo l’abitato si ritira sull’Acropoli_ dove viene costruito un castello. Le strutture architettoniche della città antica sono immerse in una vasta area di macchia mediterranea e di rigogliosi uliveti costituendo uno splendido connubio tra archeologia e natura. Scopriamo di più su http://www.beniculturali.it/mibac/opencms/MiBAC/sito-MiBAC/Luogo/MibacUnif/Luoghi-della-Cultura/visualizza_asset.html?id=150685&pagename=157031 #Italiaviaggianellabellezza #MiBACTsocial;2016-05-16T07:54:03+0000;10154223947508711_10154226156653711;a0e7fb8d23513467e05d7f87a0baf22b995e760b;1;Sergio Cortiglia di laureati in archeologia ce ne sono nel salernitano (per fortuna) io sono indirizzo mobili artistici area medievale..ma se le interessa comunque la potrei metterla in contatto con archeologi appassionati e competenti... che hanno nel cuore la loro professione ed il Cilento...fatto é che ci sono sempre Enti superiori a cui dar conto (ovviamente) e come scrive il signorRaffaele Di Lorenzo mancano le infrastrutture... ed un organico sistema turistico regionale...;2016-05-17T08:19:20+0000;0
2_6;171645503710_10154223947508711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno dall_antica città di Elea-Velia #Salerno L’antica città di Elea_ che deriva il suo nome dalla sorgente locale Hyele_ fu fondata intorno al 540 a.C. da un gruppo di esuli provenienti dalla città greca di Focea_ nell’attuale Turchia_ occupata dai Persiani. La città_ nota nel V sec. soprattutto per le figure di Parmenide e Zenone_ fondatori della scuola filosofica eleatica_ raggiunge un periodo di grande sviluppo in età ellenistica e in gran parte dell’età romana (fine IV a.C. – V sec. d.C.)_ quando il suo nome viene modificato in Velia. Con il Medioevo l’abitato si ritira sull’Acropoli_ dove viene costruito un castello. Le strutture architettoniche della città antica sono immerse in una vasta area di macchia mediterranea e di rigogliosi uliveti costituendo uno splendido connubio tra archeologia e natura. Scopriamo di più su http://www.beniculturali.it/mibac/opencms/MiBAC/sito-MiBAC/Luogo/MibacUnif/Luoghi-della-Cultura/visualizza_asset.html?id=150685&pagename=157031 #Italiaviaggianellabellezza #MiBACTsocial;2016-05-16T07:54:03+0000;10154223947508711_10154224040108711;a0e7fb8d23513467e05d7f87a0baf22b995e760b;0;Esiste una Campania di serie A ed una di serie B...i siti di Velia con Paestum, la grotta di San Michele ad Olevano sul tusciano, la chiesa di Sant'Ambrogio a Montecorvino Rovella sono un esempio di come perle d'arte del salernitano siano state dimenticate...ciò grazie alle amministrazioni, alla provincia...alla regione e grazie alle soprintendenze...non esistono solo napoli Caserta pompei ed Ercolano. ... consiglio a tutti una guida del Touring club venire in campania e dimenticare le solite mete! Scoprite le altre province..un consiglio da una laureata in beni culturali.;2016-05-16T09:03:15+0000;35
2_7;171645503710_10154223947508711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno dall_antica città di Elea-Velia #Salerno L’antica città di Elea_ che deriva il suo nome dalla sorgente locale Hyele_ fu fondata intorno al 540 a.C. da un gruppo di esuli provenienti dalla città greca di Focea_ nell’attuale Turchia_ occupata dai Persiani. La città_ nota nel V sec. soprattutto per le figure di Parmenide e Zenone_ fondatori della scuola filosofica eleatica_ raggiunge un periodo di grande sviluppo in età ellenistica e in gran parte dell’età romana (fine IV a.C. – V sec. d.C.)_ quando il suo nome viene modificato in Velia. Con il Medioevo l’abitato si ritira sull’Acropoli_ dove viene costruito un castello. Le strutture architettoniche della città antica sono immerse in una vasta area di macchia mediterranea e di rigogliosi uliveti costituendo uno splendido connubio tra archeologia e natura. Scopriamo di più su http://www.beniculturali.it/mibac/opencms/MiBAC/sito-MiBAC/Luogo/MibacUnif/Luoghi-della-Cultura/visualizza_asset.html?id=150685&pagename=157031 #Italiaviaggianellabellezza #MiBACTsocial;2016-05-16T07:54:03+0000;10154223947508711_10154224070838711;473103373b28191c3c19652bb3d5a0008a1ed623;0;Grazie a voi , che avete pubblicato questo post qualche mese fa, ho potuto conoscere questo sito molto bello ed interessante che non conoscevo ed ho organizzato un raduno di camperisti, il 25 aprile eravamo li in 48 persone .;2016-05-16T09:35:31+0000;15
2_8;171645503710_10154223947508711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno dall_antica città di Elea-Velia #Salerno L’antica città di Elea_ che deriva il suo nome dalla sorgente locale Hyele_ fu fondata intorno al 540 a.C. da un gruppo di esuli provenienti dalla città greca di Focea_ nell’attuale Turchia_ occupata dai Persiani. La città_ nota nel V sec. soprattutto per le figure di Parmenide e Zenone_ fondatori della scuola filosofica eleatica_ raggiunge un periodo di grande sviluppo in età ellenistica e in gran parte dell’età romana (fine IV a.C. – V sec. d.C.)_ quando il suo nome viene modificato in Velia. Con il Medioevo l’abitato si ritira sull’Acropoli_ dove viene costruito un castello. Le strutture architettoniche della città antica sono immerse in una vasta area di macchia mediterranea e di rigogliosi uliveti costituendo uno splendido connubio tra archeologia e natura. Scopriamo di più su http://www.beniculturali.it/mibac/opencms/MiBAC/sito-MiBAC/Luogo/MibacUnif/Luoghi-della-Cultura/visualizza_asset.html?id=150685&pagename=157031 #Italiaviaggianellabellezza #MiBACTsocial;2016-05-16T07:54:03+0000;10154223947508711_10154225345163711;34128e2fe1426a59863dd09874cd21ca5992e0cb;1;Io ho trascorso 20 estati nel Cilento che è un posto la cui natura ti prende cuore ed anima fin dal primo momento;2016-05-16T22:12:13+0000;1
2_9;171645503710_10154223947508711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno dall_antica città di Elea-Velia #Salerno L’antica città di Elea_ che deriva il suo nome dalla sorgente locale Hyele_ fu fondata intorno al 540 a.C. da un gruppo di esuli provenienti dalla città greca di Focea_ nell’attuale Turchia_ occupata dai Persiani. La città_ nota nel V sec. soprattutto per le figure di Parmenide e Zenone_ fondatori della scuola filosofica eleatica_ raggiunge un periodo di grande sviluppo in età ellenistica e in gran parte dell’età romana (fine IV a.C. – V sec. d.C.)_ quando il suo nome viene modificato in Velia. Con il Medioevo l’abitato si ritira sull’Acropoli_ dove viene costruito un castello. Le strutture architettoniche della città antica sono immerse in una vasta area di macchia mediterranea e di rigogliosi uliveti costituendo uno splendido connubio tra archeologia e natura. Scopriamo di più su http://www.beniculturali.it/mibac/opencms/MiBAC/sito-MiBAC/Luogo/MibacUnif/Luoghi-della-Cultura/visualizza_asset.html?id=150685&pagename=157031 #Italiaviaggianellabellezza #MiBACTsocial;2016-05-16T07:54:03+0000;10154223947508711_10154225051788711;a5f436ea5bb23103ba745f419111d2b10e0c9754;0;Si trova in #Cilento ! Ciliendu cori miu! Venite a visitarci abbiamo una cultura millenaria e tanti posti belli da scoprire! La Campania non è solo Napoli e le altre province ( bellissime!) ma anche il Cilento! Col nostro dialetto e i nostri usi e costumi siamo considerati più lucani, vicini dei calabresi e imparentati coi siciliani ?? il Basso Cilento con la sua Costa della Masseta e perle come Morigerati, Scario, Bosco di S. Giovanni a Piro e la casa museo di Ortega, le sue colline e i suoi siti archeologici (Roccagloriosa) vi piaceranno!;2016-05-16T19:26:45+0000;6
2_10;171645503710_10154223947508711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno dall_antica città di Elea-Velia #Salerno L’antica città di Elea_ che deriva il suo nome dalla sorgente locale Hyele_ fu fondata intorno al 540 a.C. da un gruppo di esuli provenienti dalla città greca di Focea_ nell’attuale Turchia_ occupata dai Persiani. La città_ nota nel V sec. soprattutto per le figure di Parmenide e Zenone_ fondatori della scuola filosofica eleatica_ raggiunge un periodo di grande sviluppo in età ellenistica e in gran parte dell’età romana (fine IV a.C. – V sec. d.C.)_ quando il suo nome viene modificato in Velia. Con il Medioevo l’abitato si ritira sull’Acropoli_ dove viene costruito un castello. Le strutture architettoniche della città antica sono immerse in una vasta area di macchia mediterranea e di rigogliosi uliveti costituendo uno splendido connubio tra archeologia e natura. Scopriamo di più su http://www.beniculturali.it/mibac/opencms/MiBAC/sito-MiBAC/Luogo/MibacUnif/Luoghi-della-Cultura/visualizza_asset.html?id=150685&pagename=157031 #Italiaviaggianellabellezza #MiBACTsocial;2016-05-16T07:54:03+0000;10154223947508711_10154225938398711;a28bd0d47abed8a6a94a176e94edfed3b544d099;1;"Spero da Cilentano doc che l'erba tagliata e non portata immediatamente via non abbia oscurato la bellezza del sito.Il Cilento e' bello tutto da Paestum a Sapri.E' un territorio ricco di cultura,di storia,di bellezze naturali,di bontà alimentari ed ancora di più e di tutto.I cilentani sono disponibili e pronti ad accogliere ed al dialogo.Quel meraviglioso territorio va visitato tutto e gustato.Dalla parte nord alla parte sud e dal mare alla parte più interna.E se ci arrivate prevenuti e con un pizzico di diffidenza,quando andrete via vi dispiacerà sicuramente perché li avrete lasciato il cuore ed il suo ricordo vi accompagnerà per sempre.""Chera e' la Terra mia,sempe inta lu corre,sempe inta la mente"".-";2016-05-17T06:09:28+0000;0
2_11;171645503710_10154223947508711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno dall_antica città di Elea-Velia #Salerno L’antica città di Elea_ che deriva il suo nome dalla sorgente locale Hyele_ fu fondata intorno al 540 a.C. da un gruppo di esuli provenienti dalla città greca di Focea_ nell’attuale Turchia_ occupata dai Persiani. La città_ nota nel V sec. soprattutto per le figure di Parmenide e Zenone_ fondatori della scuola filosofica eleatica_ raggiunge un periodo di grande sviluppo in età ellenistica e in gran parte dell’età romana (fine IV a.C. – V sec. d.C.)_ quando il suo nome viene modificato in Velia. Con il Medioevo l’abitato si ritira sull’Acropoli_ dove viene costruito un castello. Le strutture architettoniche della città antica sono immerse in una vasta area di macchia mediterranea e di rigogliosi uliveti costituendo uno splendido connubio tra archeologia e natura. Scopriamo di più su http://www.beniculturali.it/mibac/opencms/MiBAC/sito-MiBAC/Luogo/MibacUnif/Luoghi-della-Cultura/visualizza_asset.html?id=150685&pagename=157031 #Italiaviaggianellabellezza #MiBACTsocial;2016-05-16T07:54:03+0000;10154223947508711_10154225963008711;87b1e3a740673a1a600f11e9e967cf2a35e4f30f;1;Il sito è bello non si discute era per dire che non c e molta cura di esso e sicuramente si deve valorizzare io vengo dalla terra e non mi fa impressione niente però mi chiedo cosa pensano i turisti stranieri che vengono a visitarlo... può darsi pure che mi sbaglio nel senso che attirati da tanta bellezza magari non si fa caso alle mancanze...;2016-05-17T06:31:45+0000;1
