tipo;by;post_message;picture;link;link_domain;post_published;post_published_unix;post_published_sql;likes;likes_count_fb;comments_count_fb;comments_all;comments_base;comments_replies;shares;comment_likes;engagement;post_id;post_link
photo;post_page_171645503710;Il Tramonto dal teatro dell_antica Minturnae (LT).  Foto: Angelo Farina.;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13226801_10154213188988711_1077084898642509119_n.jpg?oh=2a2bef9100bd349d64f5526721d4c424&oe=579B6D13;https://www.facebook.com/MIBACT/photos/a.190659273710.126437.171645503710/10154213188988711/?type=3;facebook.com;2016-05-11T16:30:00+0000;1462984200;11/05/2016 18:30;1019;1024;14;14;13;1;266;16;1315;171645503710_10154213188988711;https://www.facebook.com/MIBACT/posts/10154213188988711:0
photo;post_page_171645503710;Villa di Livia MUSEO NAZIONALE ROMANO PALAZZO MASSIMO ALLE TERME_ #Roma;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13174157_10154213282063711_6110434993419046669_n.jpg?oh=368233ed2dd14d4679f55dcad950cd3a&oe=57DD690B;https://www.facebook.com/MIBACT/photos/a.10150657459338711.412067.171645503710/10154213282063711/?type=3;facebook.com;2016-05-11T10:46:33+0000;1462963593;11/05/2016 12:46;1337;1345;30;30;28;2;212;14;1593;171645503710_10154213282423711;https://www.facebook.com/MIBACT/posts/10154213282423711
photo;post_page_171645503710;"#Buongiorno dalla Abbazia di Fruttuaria_ San Benigno Canavese (TO). L_abbazia benedettina fu fondata all_inizio del XI secolo da Guglielmo da Volpiano. Intorno al 1400 subì una fase di declino a cui seguì la soppressione; nel 1585 fu trasformata in collegiata. Vittorio Amedeo delle Lanze_ nel 1770_ fece costruire_ su progetto attribuito a Bernardo Antonio Vittone_ una nuova grande chiesa il cui impianto si sovrappone alle strutture medievali. Scopriamola su http://www.piemonte.beniculturali.it/index.php/it/i-luoghi-della-cultura/abbazie/abbazia-di-fruttuaria #Italiaviaggainellabellezza #MiBACTsocial";https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/13220811_10154213168823711_1464505637051425532_n.jpg?oh=96d1edc717f7553670b4f378dd11d4a7&oe=57A637DA;https://www.facebook.com/MIBACT/photos/a.190659273710.126437.171645503710/10154213168823711/?type=3;facebook.com;2016-05-11T08:56:41+0000;1462957001;11/05/2016 10:56;329;331;5;5;4;1;68;10;412;171645503710_10154213171148711;https://www.facebook.com/MIBACT/posts/10154213171148711
photo;post_page_171645503710;#Buongiorno dal Palazzo di Teodorico_ #Ravenna.  Con il nome di Palazzo di Teoderico si fa comunemente riferimento ai resti architettonici prospicienti l’attuale via di Roma_ situati in prossimità  della chiesa di Sant_Apollinare Nuovo. L’area archeologica circostante_ indicata nei monumenti medievali come luogo di estensione del palazzo_ fu oggetto di grande interesse a partire dalla metà del diciannovesimo secolo. Le ricerche archeologiche portarono alla luce numerosi resti di strutture residenziali_ individuate poi dagli studiosi come parte di un settore del complesso palaziale della Ravenna tardo antica. E’ stato quindi accertato come in occasione del passaggio_ nell’anno 402_ della capitale dell’Impero Romano d’Occidente da Milano a Ravenna_ la  corte avesse commissionato la sistemazione di un complesso palaziale e di numerose fabbriche adibite alle varie esigenze. http://www.polomusealeemiliaromagna.beniculturali.it/index.php/i-musei-del-polo/palazzo-di-teodorico.html #Italiaviaggianellabellezza;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13102790_10154210863978711_7305493191910192987_n.jpg?oh=9eb8bc5a2b4ddea94f4369104bb7064a&oe=57D4C8BB;https://www.facebook.com/MIBACT/photos/a.10151777168173711.1073741871.171645503710/10154210863978711/?type=3;facebook.com;2016-05-10T08:22:17+0000;1462868537;10/05/2016 10:22;868;873;15;15;15;0;199;19;1101;171645503710_10154210869013711;https://www.facebook.com/MIBACT/posts/10154210869013711
link;post_page_171645503710;Segnala i luoghi della cultura dimenticati a bellezza@governo.it  #MiBACTsocial;https://external.xx.fbcdn.net/safe_image.php?d=AQAEZ9GtEjleildS&w=130&h=130&url=http%3A%2F%2Fwww.governo.it%2Fsites%2Fgoverno.it%2Fthemes%2Fgoverno%2Fgoverno-assets%2Ffiles%2Fhead_random%2Fpalazzo_chigi_1.jpg&cfs=1;http://www.governo.it/articolo/bellezzagovernoit/4697;governo.it;2016-05-09T11:35:40+0000;1462793740;09/05/2016 13:35;354;354;35;35;21;14;1;21;411;171645503710_10154208895358711;https://www.facebook.com/MIBACT/posts/10154208895358711
video;post_page_171645503710;La stagione 2016/17 al Teatro San Carlo di #Napoli;https://external.xx.fbcdn.net/safe_image.php?d=AQAbUpDJq8HzN1Kg&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FWnkcdLrOtPE%2Fmaxresdefault.jpg&cfs=1&sx=305&sy=0&sw=720&sh=720;https://youtu.be/WnkcdLrOtPE;youtu.be;2016-05-09T10:20:37+0000;1462789237;09/05/2016 12:20;30;30;0;0;0;0;9;0;39;171645503710_10154208795783711;https://www.facebook.com/MIBACT/posts/10154208795783711
photo;post_page_171645503710;#Buongiorno dal museo nazionale romano di Palazzo Massimo_ #Roma L_ottocentesco palazzo in stile neo rinascimentale_ nei pressi della Stazione Termini_ accoglie una delle più importanti collezioni di arte classica al mondo. Nei quattro piani del museo_ sculture_ affreschi_ mosaici_ monete e opere di oreficeria documentano l´evoluzione della cultura artistica romana. Nelle sale del piano terra sono esposti splendidi originali greci rinvenuti a Roma_ come il Pugile_ il Principe ellenistico e la Niobide dagli Horti Sallustiani_ e la ritrattistica di età repubblicana e imperiale_ culminante nella statua di Augusto Pontefice Massimo. Al primo piano sono presentati celebri capolavori della statuaria_ tra cui il Discobolo Lancellotti_ la Fanciulla di Anzio e l’Ermafrodito dormiente_ e magnifici sarcofagi_ come quello di Portonaccio_ con una scena di battaglia scolpita in altorilievo. Al secondo piano_ pareti affrescate e mosaici pavimentali documentano la decorazione domestica di prestigiose residenze romane Visitiamolo su http://archeoroma.beniculturali.it/musei/museo-nazionale-romano-palazzo-massimo #Italiaviaggianellabellezza #MiBACTsocial;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13177828_10154208622523711_6417815729839050863_n.jpg?oh=3f97d1301ec8a7866c844b73fc166eca&oe=57DBEB61;https://www.facebook.com/MIBACT/photos/a.10151777168173711.1073741871.171645503710/10154208622523711/?type=3;facebook.com;2016-05-09T08:10:02+0000;1462781402;09/05/2016 10:10;967;974;31;31;23;8;316;28;1342;171645503710_10154208626023711;https://www.facebook.com/MIBACT/posts/10154208626023711
photo;post_page_171645503710;Oggi #Appiaday Entra nella grande bellezza dell_Appia Antica www.appiaday.it #MiBACTsocial;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13151850_10154206397023711_6003132304824704922_n.jpg?oh=447976b3e376c1ff552788391fcb80e0&oe=57DFBBF3;https://www.facebook.com/MIBACT/photos/a.190659273710.126437.171645503710/10154206397023711/?type=3;facebook.com;2016-05-08T10:38:11+0000;1462703891;08/05/2016 12:38;1588;1594;27;27;22;5;435;12;2062;171645503710_10154206399663711;https://www.facebook.com/MIBACT/posts/10154206399663711
photo;post_page_171645503710;Happy mother_s day! #mothersday;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13091962_10154206282238711_2799375284270690797_n.jpg?oh=9501c6bc00ffe06472410f31b22d339f&oe=57E18876;https://www.facebook.com/MIBACT/photos/a.190659273710.126437.171645503710/10154206282238711/?type=3;facebook.com;2016-05-08T09:12:43+0000;1462698763;08/05/2016 11:12;2204;2214;14;14;14;0;667;10;2895;171645503710_10154206282238711;https://www.facebook.com/MIBACT/posts/10154206282238711:0
photo;post_page_171645503710;#Buongiorno dal Museo Nazionale di Capodimonte_ #Napoli Ubicato all_interno della reggia omonima_ nella località di Capodimonte_ ospita gallerie di arte antica_ una di arte contemporanea e un appartamento storico. È stato ufficialmente inaugurato nel 1957_ anche se le sale della reggia hanno ospitato opere d_arte già a partire dal 1758. Conserva prevalentemente pitture_ distribuite largamente nelle due collezioni principali_ ossia quella Farnese_ di cui fanno parte alcuni grandi nomi della pittura italiana e internazionale (tra cui Raffaello_ Tiziano_ Parmigianino_ Bruegel il Vecchio_ El Greco_ Ludovico Carracci_ Guido Reni)_ e quella della Galleria Napoletana_ che raccoglie opere provenienti da chiese della città e dei suoi dintorni_ trasportate a Capodimonte a scopo cautelativo dalle soppressioni in poi (Simone Martini_ Colantonio_ Caravaggio_ Ribera_ Luca Giordano_ Francesco Solimena). Importante anche la collezione di arte contemporanea_ unica nel suo genere in Italia_ in cui spicca Vesuvius di Andy Warhol. www.museocapodimonte.beniculturali.it #Italiaviaggianellabellezza #MiBACTsocial;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13151450_10154201582588711_5895268236847389890_n.jpg?oh=a4895b78e1063a3866928c6e4261b7e5&oe=57DEFCF3;https://www.facebook.com/MIBACT/photos/a.10151777168173711.1073741871.171645503710/10154201582588711/?type=3;facebook.com;2016-05-06T08:35:41+0000;1462523741;06/05/2016 10:35;993;996;34;34;25;9;246;20;1293;171645503710_10154201582913711;https://www.facebook.com/MIBACT/posts/10154201582913711
photo;post_page_171645503710;Domani la presentazione della #festadellamusica2016  http://www.beniculturali.it/mibac/export/MiBAC/sito-MiBAC/Contenuti/MibacUnif/Eventi/visualizza_asset.html_1442142388.html SIAE Festa della Musica;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13118873_10154199729438711_137532374282714250_n.jpg?oh=a240e53fb2a0c9ea379510516f035614&oe=579B0BF0;https://www.facebook.com/MIBACT/photos/a.190659273710.126437.171645503710/10154199729438711/?type=3;facebook.com;2016-05-05T12:31:32+0000;1462451492;05/05/2016 14:31;54;54;1;1;1;0;24;0;79;171645503710_10154199729438711;https://www.facebook.com/MIBACT/posts/10154199729438711:0
photo;post_page_171645503710;#Eifu;https://scontent.xx.fbcdn.net/v/t1.0-0/q85/s130x130/13177592_983306441789709_4048702702271646431_n.jpg?oh=2317f11bb714a4c813b9fe704e507566&oe=57A29081;https://www.facebook.com/Biblilist/photos/a.731518760301813.1073741828.726876577432698/983306441789709/?type=3;facebook.com;2016-05-05T11:42:20+0000;1462448540;05/05/2016 13:42;236;237;0;0;0;0;0;0;236;171645503710_10154199656318711;https://www.facebook.com/MIBACT/posts/10154199656318711
photo;post_page_171645503710;#Buongiorno dalla Rocca di San Leo_ #Rimini La notevole posizione strategica fece di San Leo un luogo conteso per tutto l_alto medioevo: dai Goti ai Bizantini_ passando per i Longobardi (Desiderio realizzò il primo presidio difensivo in muratura) fino alla dominazione della Chiesa_ attestato dalla metà dell_VIII fino a buona parte del X secolo.  Dopo la Signoria dei Montefeltro_ estesa fino al Seicento_ San Leo passò ai Della Rovere e_ alla loro estinzione_ allo Stato Pontificio fino al 1860.  Utilizzata per lungo tempo come carcere - notissima è la vicenda del conte di Cagliostro_ qui recluso fra il 1791 e il 1795 - la rocca sarà infine impiegata come caserma militare fino al 1915. Scopriamola su http://www.soprintendenzaravenna.beniculturali.it/index.php?it/201/fortezza-di-san-leo #Italiaviaggianellabellezza;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13174132_10154199373493711_7235584385442780080_n.jpg?oh=fc5667583bd7c0842be99a9b8f4dae48&oe=57A0B575;https://www.facebook.com/MIBACT/photos/a.10151777168173711.1073741871.171645503710/10154199373493711/?type=3;facebook.com;2016-05-05T08:12:21+0000;1462435941;05/05/2016 10:12;682;685;19;19;16;3;174;19;894;171645503710_10154199376883711;https://www.facebook.com/MIBACT/posts/10154199376883711
video;post_page_171645503710;Oggi #StarWarsDay Lo sapevate?  https://youtu.be/WdgfRdSBrWA;https://external.xx.fbcdn.net/safe_image.php?d=AQCTp-fa5xK0mX_0&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FWdgfRdSBrWA%2Fhqdefault.jpg&cfs=1;https://youtu.be/WdgfRdSBrWA;youtu.be;2016-05-04T18:14:23+0000;1462385663;04/05/2016 20:14;89;89;5;5;4;1;26;1;121;171645503710_10154198173708711;https://www.facebook.com/MIBACT/posts/10154198173708711
photo;post_page_171645503710;In Acqua: H2O Molecole di creatività Da oggi al Planetario delle Terme di Diocleziano_ #Roma Info: http://archeoroma.beniculturali.it/mostre/acqua-h2o-molecole-creativit%C3%A0;https://scontent.xx.fbcdn.net/v/t1.0-0/q88/s130x130/13178989_10154197382373711_3123174324042864138_n.jpg?oh=e24fb81cafd276719c242a8fd40d29be&oe=579F5115;https://www.facebook.com/MIBACT/photos/a.190659273710.126437.171645503710/10154197382373711/?type=3;facebook.com;2016-05-04T11:49:31+0000;1462362571;04/05/2016 13:49;233;235;1;1;1;0;62;0;296;171645503710_10154197383273711;https://www.facebook.com/MIBACT/posts/10154197383273711
photo;post_page_171645503710;#Buongiorno dal museo archeologico nazionale di Chiusi (Si).  Di notevole interesse sono le sezioni dedicate al territorio ed alle necropoli_ dove sono esposti corredi dal VII al III secolo a. C. In particolare_ per la prima volta_ è stato ricostruito il corredo della Tomba della Pania con la grande situla in bronzo ed il calco della famosa pisside in avorio (l’originale è esposto nel Museo Archeologico di Firenze).  Visitiamolo http://www.archeotoscana.beniculturali.it/index.php?it/147/chiusi-museo-archeologico-nazionale #Italiaviaggianellabellezza;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13133186_10154197138263711_6795018864269294698_n.jpg?oh=5a718ca87bbcb66962bc284cf4ac6bd3&oe=57D4B866;https://www.facebook.com/MIBACT/photos/a.10151777168173711.1073741871.171645503710/10154197138263711/?type=3;facebook.com;2016-05-04T08:30:02+0000;1462350602;04/05/2016 10:30;438;440;5;4;4;0;119;0;561;171645503710_10154197139788711;https://www.facebook.com/MIBACT/posts/10154197139788711
photo;post_page_171645503710;È maggio dei libri! #MiBACTsocial;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13138963_982018325251854_5897856164140502563_n.jpg?oh=314a8e11629f1306ce9fdb8c33f781c1&oe=57D86F8B;https://www.facebook.com/Biblilist/photos/a.731518760301813.1073741828.726876577432698/982018325251854/?type=3;facebook.com;2016-05-03T10:50:29+0000;1462272629;03/05/2016 12:50;198;200;5;5;4;1;0;7;210;171645503710_10154195152213711;https://www.facebook.com/MIBACT/posts/10154195152213711
photo;post_page_171645503710;#Buongiorno dalla Pinacoteca Nazionale di Bologna.  Con le sue trenta sale espositive_ ed uno spazio adibito esclusivamente alle mostre temporanee ed alla attività didattica_ la Pinacoteca_ rinnovata ed adeguata agli standard europei_ è oggi da annoverare tra le più moderne ed importanti Gallerie nazionali conosciute ed apprezzate all’estero. Il suo patrimonio si è arricchito negli anni con nuove acquisizioni statali_ lasciti e donazioni di privati che hanno completato il già vasto percorso artistico dell’arte emiliana che va dal XIII all’ inizio del XIX secolo. www.pinacotecabologna.beniculturali.it #Italiaviaggianellabellezza;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13139319_10154194985243711_5664270488940532518_n.jpg?oh=62dd29ef8d2b1274c52594630db8dc01&oe=57D5D62B;https://www.facebook.com/MIBACT/photos/a.10151777168173711.1073741871.171645503710/10154194985243711/?type=3;facebook.com;2016-05-03T08:05:37+0000;1462262737;03/05/2016 10:05;502;504;9;9;9;0;99;5;615;171645503710_10154194990723711;https://www.facebook.com/MIBACT/posts/10154194990723711
photo;post_page_171645503710;#unmiliardoperlacultura ecco il dettaglio dei 33 interventi sul patrimonio culturale italiano  http://www.beniculturali.it/mibac/export/MiBAC/sito-MiBAC/Contenuti/MibacUnif/Comunicati/visualizza_asset.html_973493546.html #MiBACTsocial;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13124553_10154192794633711_9168976994350562802_n.jpg?oh=13c4f89839396679a78ffa5031b704d2&oe=579E7373;https://www.facebook.com/MIBACT/photos/a.10151777168173711.1073741871.171645503710/10154192794633711/?type=3;facebook.com;2016-05-02T11:06:18+0000;1462187178;02/05/2016 13:06;613;616;31;29;25;4;214;81;937;171645503710_10154192795713711;https://www.facebook.com/MIBACT/posts/10154192795713711
photo;post_page_171645503710;#Buongiorno dal parco delle Tavole Palatine_ Metaponto (MT) l parco archeologico_ situato a nord di Metaponto Borgo_ comprende il santuario urbano_ parte dell’agorà_ il quartiere artigianale per la produzione delle ceramiche (kerameikos) ed il grande asse viario nord-sud (plateia) su cui s’imposta l’intero impianto urbano. Nell’insieme sono riconoscibili le tracce di una notevole quantità di monumenti che hanno segnato la vita civile e religiosa della colonia_ dalle fasi iniziali della sua fondazione fino alla conquista romana avvenuta nel III sec. a. C. Scopriamo di più su http://www.archeobasilicata.beniculturali.it/WA_Musei_Archeologici.aspx #MiBACTsocial;https://scontent.xx.fbcdn.net/v/l/t1.0-0/s130x130/13100689_10154192607713711_7137282035795324109_n.jpg?oh=de6f5e3daf57373c227d90322e1d64a2&oe=57A41B8B;https://www.facebook.com/MIBACT/photos/a.190659273710.126437.171645503710/10154192607713711/?type=3;facebook.com;2016-05-02T08:38:11+0000;1462178291;02/05/2016 10:38;941;952;17;17;13;4;275;4;1237;171645503710_10154192608133711;https://www.facebook.com/MIBACT/posts/10154192608133711
photo;post_page_171645503710;Domani_ alle ore 11_ conferenza stampa di Dario Franceschini alla sede centrale del #MiBACT (Roma) sui progetti approvati dal #Cipe #unmiliardoperlacultura;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13102728_10154190671398711_2626680026849723424_n.jpg?oh=d640a8b74aa61f0447db137e82793889&oe=57A43BEE;https://www.facebook.com/MIBACT/photos/a.190659273710.126437.171645503710/10154190671398711/?type=3;facebook.com;2016-05-01T13:57:30+0000;1462111050;01/05/2016 15:57;283;285;19;18;14;4;83;9;393;171645503710_10154190671398711;https://www.facebook.com/MIBACT/posts/10154190671398711:0
photo;post_page_171645503710;Buon #1maggio e buona #domenicalmuseo Oggi musei gratis in tutta Italia  Elenco completo su www.beniculturali.it/domenicalmuseo;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13133382_10154190078558711_7800647606145486617_n.jpg?oh=2240ba91c342b1b6f0e1680cb84f337f&oe=57D3C0B7;https://www.facebook.com/MIBACT/photos/a.10151777168173711.1073741871.171645503710/10154190078558711/?type=3;facebook.com;2016-05-01T08:10:44+0000;1462090244;01/05/2016 10:10;789;794;22;22;14;8;280;9;1100;171645503710_10154190080313711;https://www.facebook.com/MIBACT/posts/10154190080313711
